DUB, FCO, 08:45, 11:00, 340
DUB, FCO, 10:00, 12:15, 360
DUB, FCO, 11:30, 13:45, 380
DUB, FCO, 13:00, 15:15, 400
DUB, FCO, 14:30, 16:45, 420
DUB, FCO, 16:00, 18:15, 440
DUB, FCO, 17:30, 19:45, 460
DUB, FCO, 19:00, 21:15, 480
DUB, FCO, 20:30, 22:45, 500
DUB, FCO, 22:00, 00:15, 520
LHR, FCO, 07:00, 09:15, 350
LHR, FCO, 08:30, 10:45, 370
LHR, FCO, 10:00, 12:15, 390
LHR, FCO, 11:30, 13:45, 410
LHR, FCO, 13:00, 15:15, 430
LHR, FCO, 14:30, 16:45, 450
LHR, FCO, 16:00, 18:15, 470
LHR, FCO, 17:30, 19:45, 490
LHR, FCO, 19:00, 21:15, 510
LHR, FCO, 20:30, 22:45, 530
BRU, FCO, 08:15, 10:25, 310
BRU, FCO, 09:30, 11:40, 330
BRU, FCO, 11:00, 13:10, 350
BRU, FCO, 12:30, 14:40, 370
BRU, FCO, 14:00, 16:10, 390
BRU, FCO, 15:30, 17:40, 410
BRU, FCO, 17:00, 19:10, 430
BRU, FCO, 18:30, 20:40, 450
BRU, FCO, 20:00, 22:10, 470
BRU, FCO, 21:30, 23:40, 490
CDG, FCO, 07:45, 09:55, 320
CDG, FCO, 09:00, 11:10, 340
CDG, FCO, 10:30, 12:40, 360
CDG, FCO, 12:00, 14:10, 380
CDG, FCO, 13:30, 15:40, 400
CDG, FCO, 15:00, 17:10, 420
CDG, FCO, 16:30, 18:40, 440
CDG, FCO, 18:00, 20:10, 460
CDG, FCO, 19:30, 21:40, 480
CDG, FCO, 21:00, 23:10, 500
LIS, FCO, 08:00, 10:20, 300
LIS, FCO, 10:30, 12:50, 320
LIS, FCO, 12:00, 14:20, 350
LIS, FCO, 14:30, 16:50, 380
LIS, FCO, 16:00, 18:20, 400
LIS, FCO, 18:30, 20:50, 420
LIS, FCO, 20:00, 22:20, 450
LIS, FCO, 22:30, 00:50, 470
LIS, FCO, 00:00, 02:20, 490
LIS, FCO, 02:30, 04:50, 520
FCO, LIS, 12:00, 14:20, 300
FCO, LIS, 14:30, 16:50, 320
FCO, LIS, 16:00, 18:20, 350
FCO, LIS, 18:30, 20:50, 380
FCO, LIS, 20:00, 22:20, 400
FCO, LIS, 22:30, 00:50, 420
FCO, LIS, 00:00, 02:20, 450
FCO, LIS, 02:30, 04:50, 470
FCO, LIS, 04:00, 06:20, 490
FCO, LIS, 06:30, 08:50, 520
FCO, CDG, 10:30, 12:40, 320
FCO, CDG, 12:00, 14:10, 340
FCO, CDG, 13:30, 15:40, 360
FCO, CDG, 15:00, 17:10, 380
FCO, CDG, 16:30, 18:40, 400
FCO, CDG, 18:00, 20:10, 420
FCO, CDG, 19:30, 21:40, 440
FCO, CDG, 21:00, 23:10, 460
FCO, CDG, 22:30, 00:40, 480
FCO, CDG, 00:00, 02:10, 500
FCO, BRU, 11:00, 13:10, 310
FCO, BRU, 12:30, 14:40, 330
FCO, BRU, 14:00, 16:10, 350
FCO, BRU, 15:30, 17:40, 370
FCO, BRU, 17:00, 19:10, 390
FCO, BRU, 18:30, 20:40, 410
FCO, BRU, 20:00, 22:10, 430
FCO, BRU, 21:30, 23:40, 450
FCO, BRU, 23:00, 01:10, 470
FCO, BRU, 00:30, 02:40, 490
FCO, MAD, 10:00, 12:15, 280
FCO, MAD, 11:30, 13:45, 300
FCO, MAD, 13:00, 15:15, 320
FCO, MAD, 14:30, 16:45, 340
FCO, MAD, 16:00, 18:15, 360
FCO, MAD, 17:30, 19:45, 380
FCO, MAD, 19:00, 21:15, 400
FCO, MAD, 20:30, 22:45, 420
FCO, MAD, 22:00, 00:15, 440
FCO, MAD, 23:30, 01:45, 460
FCO, LHR, 09:30, 11:45, 350
FCO, LHR, 11:00, 13:15, 370
FCO, LHR, 12:30, 14:45, 390
FCO, LHR, 14:00, 16:15, 410
FCO, LHR, 15:30, 17:45, 430
FCO, LHR, 17:00, 19:15, 450
FCO, LHR, 18:30, 20:45, 470
FCO, LHR, 20:00, 22:15, 490
FCO, LHR, 21:30, 23:45, 510
FCO, LHR, 23:00, 01:15, 530
FCO, DUB, 08:00, 10:15, 340
FCO, DUB, 09:30, 11:45, 360
FCO, DUB, 11:00, 13:15, 380
FCO, DUB, 12:30, 14:45, 400
FCO, DUB, 14:00, 16:15, 420
FCO, DUB, 15:30, 17:45, 440
FCO, DUB, 17:00, 19:15, 460
FCO, DUB, 18:30, 20:45, 480
FCO, DUB, 20:00, 22:15, 500
FCO, DUB, 21:30, 23:45, 520
MAD, FCO, 07:30, 09:45, 280
MAD, FCO, 09:00, 11:15, 300
MAD, FCO, 10:30, 12:45, 320
MAD, FCO, 12:00, 14:15, 340
MAD, FCO, 13:30, 15:45, 360
MAD, FCO, 15:00, 17:15, 380
MAD, FCO, 16:30, 18:45, 400
MAD, FCO, 18:00, 20:15, 420
MAD, FCO, 19:30, 21:45, 440
MAD, FCO, 21:00, 23:15, 460
